sku,store,attribute_set,_type,_category,_root_category,websites,category_ids,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,grape,wine_year,wine_land,type_of_wine,wine_region,wine_appellation,wine_chateau,wine_classification,wine_drinkstaduim,wine_flavor_type,wine_score,wine_resources_score,product_type_id,store_id,in_depth,model,_product_websites
28,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Helder, zuiver diepblank van kleur met een zilveren glans. Stuivend fris bouquet vol fruit als citrus, groene appeltjes en kiwi. Elegant van structuur en stijl, verrassend zacht in de mond en in de afdronk lichte terroiraccenten. 100% sauvignon blanc.",,,1,/b/o/bourgogne_en_loire_195_260_q_pinot_noir.png,Sauvignon Blanc,,inner,,,Chartron la Fleur - Bordeaux Blanc,,,Use config,Use config,Chartron la Fleur - Bordeaux Blanc,,,Block after Info Column,,5.95,0,"Al vele jaren de witte huiswijn uit Bordeaux van Vanouds de Zwaan. Heerlijk droog en fris, maar wel verrassend zacht voor een sauvignon blanc. Ster in de Guide Hachette 2012!",,,,,,1,2,1,0,,,,4,75,75,540,540,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,,,Sauvignon Blanc,2010,Frankrijk,Wit,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
29,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Intense robijnrode kleur met aroma's van rode vruchten, pruimen, een hint van munt en kruiden. Merlot voert de boventoon, waardoor de wijn fruitig is, zacht en soepel met een sappige, frisse afdronk.",,,1,,,,inner,,,,,,,,Château Les Arqueys,,,Block after Info Column,,5.95,,"Een zachte en soepele Bordeaux waarin merlot de boventoon voert - gul, sappig en lekker fruitig.",,,,,,1,2,1,,,,,4,75,75,24,24,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Château Les Arqueys,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
30,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Wijndomein uit het begin van de 19de eeuw, nu eigendom van Patrick Barrière. 
Groot 8 ha, gunstig gelegen op een zonnig plateau met goed terroir wat zorgt 
voor een goede beworteling van de wijnstokken. Samenstelling: merlot 60%, cabernet sauvignon 40%.
",,,1,,,,inner,,,,,,,,Château Saint-Thibeaud - Bordeaux Rosé,,,Block after Info Column,,5.95,,"Elegant van structuur, fris en lichtkruidig. Geen zware rosé maar erg toegankelijk en makkelijk te drinken. Geschikt als aperitief maar ook verfrissend op recepties of zomaar op een zonnig terras.",,,,,,1,2,1,,,,,4,75,75,72,72,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rosé,Bordeaux,Bordeaux,Château Saint-Thibeaud,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
33,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"In de zuidelijke Rhône maar dan wat meer naar het Oosten op de hellingen van de Mont Ventoux liggen de wijngaarden van de Côtes-du-Ventoux. Pierre Rougon, een veeleisende en creatieve wijnmaker, maakt hier van grenache en syrah en in de verkoeling van de Mont Ventoux deze soepele, ronde en fruitige wijn. Gouden medaille op het Concours des Vins in Orange.",,,1,,,,inner,,,,,,,,Domaine de la Tour Rocan,,,Block after Info Column,,5.95,,"Op de hellingen van de Mont Ventoux liggen de wijngaarden van Pierre Rougon, een veeleisende en creatieve wijnmaker. Hij maakt hier van grenache en syrah deze soepele, ronde en fruitige wijn.",,,,,,1,2,,1,,,,4,75,,75,48,48,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,"Grenache, Syrah",2011,Frankrijk,Rood,Côtes du Rhône,Ventoux,Domaine de la Tour Rocan,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
34,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Toegankelijke rode Chartron la Fleur. Neus van bessen en klein donker fruit; in de mond fris fruitig, met soepele tannines en een vleugje vanille door de gedeeltelijke opvoeding op houten vaten. Samenstelling: 70% merlot, 30% cabernet sauvignon. Combineert prima met voorgerechten, wit en rood vlees.", in de mond fris fruitig,,1,,,,inner,,,,,,,,Chartron la Fleur,,,Block after Info Column,,5.95,,"Genoemd naar Quartier des Chartrons, het oude wijnhandelsdistrict in Bordeaux. Lekker toegankelijke rode Bordeaux, rond en fruitig met een vleugje vanille door de gedeeltelijke opvoeding op houten vaten.",,,,,,1,2,2,,1,,,4,75,75,,75,102,102,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
35,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Al jaren een bestseller in ons assortiment. Mooie, donkere, robijnrode kleur en een aangename neus met nuances van rijp zwart fruit en toast; in de mond soepel en fruitig met tonen van cassis en bessen en jonge, zachte tannines. Een vleugje vanille verraadt een korte rijping op eiken.",,,1,,,,inner,,,,,,,,Château Lalène - Bordeaux Supérieur,,,Block after Info Column,,6.25,,"Topper uit ons Bordeaux huiswijnassortiment - lekker vol en donker van smaak zoals een goede Bordeaux hoort te zijn, en dat voor een zacht prijsje.",,,,,,1,2,1,,,,,4,75,75,228,228,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux Supérieur,Château Lalène,,"Op dronk, zeker 5 jaar op te leggen",Vol en soepel,,,simple,1,test in depth,,base
36,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Mondvullend en rijk, fruitig met milde zuren en lichtdroog. Past goed bij bijna alle gerechten vis, gevogelte, wit vlees maar ook schelpdieren, koude vleesbuffetten en niet te vergeten “De Asperge”.  Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,1,,,,inner,,,,,,,,Hubert Beck Pinot Blanc,,,Block after Info Column,,6.45,,"De populairste en meest bekende druivenvariëteit, ligt aan de oorsprong van zachte, verfijnde wijnen waarin frisheid en soepelheid samenkomen. De traditionele begeleider van “De Asperge”. ",,,,,,1,2,,1,,,,4,75,,75,168,168,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,Pinot Blanc,2010,Frankrijk,Wit,Alsace,,Hubert Beck,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
38,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Côtes de Bourg ligt naast Côtes de Blaye aan de overzijde van de Gironde ten opzichte van de Médoc. De wijnbouwtraditie gaat hier al lange tijd terug, en op Château Côtes de Bellevue wordt dan ook een goede all-round rode wijn gemaakt waarin rood fruit en een vleugje kruidigheid mooi in balans zijn.",,,1,,,,inner,,,,,,,,Château Côtes de Bellevue - Côtes de Bourg,,,Block after Info Column,,6.55,,"Een ronde, fruitige Bordeaux met aangename tannines. Combineert goed met gevogelte.",,,,,,1,2,1,,,,,4,75,75,30,30,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2008,Frankrijk,Rood,Bordeaux,Côtes de Bourg,Château Côtes de Bellevue,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
39,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",,,1,,,,inner,,,,,,,,Château Portillon,,,Block after Info Column,,6.65,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",,,,,,1,2,,1,,,,4,75,,75,24,24,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Château Portillon,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
40,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Château Grenet 2010, Médaille d’Or Paris 2011 - Château De la Lambertie 2008, Medaille d’Or Paris 2009 - Château Lers Loumede 2008, Premieres Côtes de Blaye - Château Les Arqueys 2010 - Château Portillon 2010, Medaille d’Argent Paris 2011
- Château Côtes de Bellevue 2008 - Côtes de Bourg
",,,1,,,,inner,,,,,,,,"Proefdoos ""Betaalbaar Bordeaux""",,,Block after Info Column,,0,,"Bezuinigingen, aanhoudende economische crisis…wij helpen u graag aan een betaalbare ‘gewone’ Bordeaux. Deze proefdoos bestaat uit 6 verschillende goede Bordeauxwijnen voor een kleine prijs.",,,,,,1,2,1,,,,,4,75,75, -   , -   ,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2008,Frankrijk,Rood,Bordeaux,Bordeaux,Vanouds de Zwaan,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
