sku,store,attribute_set,type,category,root_category,product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,meta_title,minimal_price,msrp,name,thumbnail,thumbnail_label,short_description,price,special_price,btw,qty,grape,wine_year,,type_of_wine,wine_region,wine_appellation,wine_chateau,wine_classification,wine_drinkstaduim,wine_flavor_type,wine_score,wine_resources_score,weight,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
28,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,2014-02-18 21:42:32,,,,,"Helder, zuiver diepblank van kleur met een zilveren glans. Stuivend fris bouquet vol fruit als citrus, groene appeltjes en kiwi. Elegant van structuur en stijl, verrassend zacht in de mond en in de afdronk lichte terroiraccenten. 100% sauvignon blanc.",Chartron la Fleur - Bordeaux Blanc,,,Chartron la Fleur - Bordeaux Blanc,/b/o/bourgogne_en_loire_195_260_q_pinot_noir.png,,"Al vele jaren de witte huiswijn uit Bordeaux van Vanouds de Zwaan. Heerlijk droog en fris, maar wel verrassend zacht voor een sauvignon blanc. Ster in de Guide Hachette 2012!",5.95,,21,540,Sauvignon Blanc,2010,,Wit,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,75,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/b/o/bourgogne_en_loire_195_260_q_pinot_noir.png,Sauvignon Blanc,1,0
29,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Intense robijnrode kleur met aroma's van rode vruchten, pruimen, een hint van munt en kruiden. Merlot voert de boventoon, waardoor de wijn fruitig is, zacht en soepel met een sappige, frisse afdronk.",,,,Château Les Arqueys,,,"Een zachte en soepele Bordeaux waarin merlot de boventoon voert - gul, sappig en lekker fruitig.",5.95,,21,24,"Merlot, Cabernet Sauvignon",2010,,Rood,Bordeaux,Bordeaux,Château Les Arqueys,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Wijndomein uit het begin van de 19de eeuw, nu eigendom van Patrick Barrière. 
Groot 8 ha, gunstig gelegen op een zonnig plateau met goed terroir wat zorgt 
voor een goede beworteling van de wijnstokken. Samenstelling: merlot 60%, cabernet sauvignon 40%.
",,,,Château Saint-Thibeaud - Bordeaux Rosé,,,"Elegant van structuur, fris en lichtkruidig. Geen zware rosé maar erg toegankelijk en makkelijk te drinken. Geschikt als aperitief maar ook verfrissend op recepties of zomaar op een zonnig terras.",5.95,,21,72,"Merlot, Cabernet Sauvignon",2010,,Rosé,Bordeaux,Bordeaux,Château Saint-Thibeaud,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"In de zuidelijke Rhône maar dan wat meer naar het Oosten op de hellingen van de Mont Ventoux liggen de wijngaarden van de Côtes-du-Ventoux. Pierre Rougon, een veeleisende en creatieve wijnmaker, maakt hier van grenache en syrah en in de verkoeling van de Mont Ventoux deze soepele, ronde en fruitige wijn. Gouden medaille op het Concours des Vins in Orange.",,,,Domaine de la Tour Rocan,,,"Op de hellingen van de Mont Ventoux liggen de wijngaarden van Pierre Rougon, een veeleisende en creatieve wijnmaker. Hij maakt hier van grenache en syrah deze soepele, ronde en fruitige wijn.",5.95,,21,48,"Grenache, Syrah",2011,,Rood,Côtes du Rhône,Ventoux,Domaine de la Tour Rocan,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Toegankelijke rode Chartron la Fleur. Neus van bessen en klein donker fruit; in de mond fris fruitig, met soepele tannines en een vleugje vanille door de gedeeltelijke opvoeding op houten vaten. Samenstelling: 70% merlot, 30% cabernet sauvignon. Combineert prima met voorgerechten, wit en rood vlees.",,,,Chartron la Fleur,,,"Genoemd naar Quartier des Chartrons, het oude wijnhandelsdistrict in Bordeaux. Lekker toegankelijke rode Bordeaux, rond en fruitig met een vleugje vanille door de gedeeltelijke opvoeding op houten vaten.",5.95,,21,102,"Merlot, Cabernet Sauvignon",2010,,Rood,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Al jaren een bestseller in ons assortiment. Mooie, donkere, robijnrode kleur en een aangename neus met nuances van rijp zwart fruit en toast; in de mond soepel en fruitig met tonen van cassis en bessen en jonge, zachte tannines. Een vleugje vanille verraadt een korte rijping op eiken.",,,,Château Lalène - Bordeaux Supérieur,,,"Topper uit ons Bordeaux huiswijnassortiment - lekker vol en donker van smaak zoals een goede Bordeaux hoort te zijn, en dat voor een zacht prijsje.",6.25,,21,228,"Merlot, Cabernet Sauvignon",2010,,Rood,Bordeaux,Bordeaux Supérieur,Château Lalène,,"Op dronk, zeker 5 jaar op te leggen",Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Mondvullend en rijk, fruitig met milde zuren en lichtdroog. Past goed bij bijna alle gerechten vis, gevogelte, wit vlees maar ook schelpdieren, koude vleesbuffetten en niet te vergeten “De Asperge”.  Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,,Hubert Beck Pinot Blanc,,,"De populairste en meest bekende druivenvariëteit, ligt aan de oorsprong van zachte, verfijnde wijnen waarin frisheid en soepelheid samenkomen. De traditionele begeleider van “De Asperge”. ",6.45,,21,168,Pinot Blanc,2010,,Wit,Alsace,,Hubert Beck,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"Côtes de Bourg ligt naast Côtes de Blaye aan de overzijde van de Gironde ten opzichte van de Médoc. De wijnbouwtraditie gaat hier al lange tijd terug, en op Château Côtes de Bellevue wordt dan ook een goede all-round rode wijn gemaakt waarin rood fruit en een vleugje kruidigheid mooi in balans zijn.",,,,Château Côtes de Bellevue - Côtes de Bourg,,,"Een ronde, fruitige Bordeaux met aangename tannines. Combineert goed met gevogelte.",6.55,,21,30,"Merlot, Cabernet Sauvignon",2008,,Rood,Bordeaux,Côtes de Bourg,Château Côtes de Bellevue,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",,,,Château Portillon,,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",6.65,,21,24,"Merlot, Cabernet Sauvignon",2010,,Rood,Bordeaux,Bordeaux,Château Portillon,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Default,simple,Proefpakketten,,,,,Frankrijk,,,,,,"Château Grenet 2010, Médaille d’Or Paris 2011 - Château De la Lambertie 2008, Medaille d’Or Paris 2009 - Château Lers Loumede 2008, Premieres Côtes de Blaye - Château Les Arqueys 2010 - Château Portillon 2010, Medaille d’Argent Paris 2011
- Château Côtes de Bellevue 2008 - Côtes de Bourg
",,,,"Proefdoos ""Betaalbaar Bordeaux""",,,"Bezuinigingen, aanhoudende economische crisis…wij helpen u graag aan een betaalbare ‘gewone’ Bordeaux. Deze proefdoos bestaat uit 6 verschillende goede Bordeauxwijnen voor een kleine prijs.",#VALUE!,,21,0,"Merlot, Cabernet Sauvignon",2008,,Rood,Bordeaux,Bordeaux,Vanouds de Zwaan,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
